id,name,abadi_type,diag,ostan,shahrestan,bakhsh,dehestan,amar_code
44130,روستای احمدخان میرگل(کل کرق),0,,16,231,804,1336,1110020002811110
44131,روستای اختیارآباد سرکهن,0,,21,356,888,2486,809040004808707
44132,روستای امام علی,0,,21,313,1067,2510,819020001808222
44133,روستای بندکو,0,,21,356,888,1138,809040005384918
44134,روستای بنگوی شیبانی,0,,17,156,827,1984,729020001907268
44135,روستای پارالدین,0,,16,231,165,645,1110010001415421
44136,روستای پردل شهرکی,0,,16,231,165,645,1110010001711699
44137,روستای پلگی,0,,21,326,886,1410,816020002116597
44138,روستای تل شیراز,1,6771,21,296,883,697,812010002381543
44139,روستای چادرنشین اورتین,1,3335,21,326,190,723,816010001808035
44140,روستای چاه حسن,0,,21,218,155,621,815010001384556
44141,روستای چاه عباس علی,0,,17,25,817,1721,717010003807463
44142,روستای چاه ملک,0,,21,222,879,1274,817020002808063
44143,روستای چغوکی,0,,21,402,890,1867,813010001117316
44144,روستای چهارده معصوم/الله اباد,1,3544,21,338,887,100,808050001112629
44145,روستای حاج حسین,0,,12,384,573,1633,2806020002828003
44146,روستای حاجی عباس خان صفرزهی,0,,16,447,816,1116,1111010001194763
44147,روستای حاجی عباس شیرزهی,0,,16,231,804,1336,1110020002195359
44148,روستای حیدرملاشریف کهنه,0,,16,231,804,971,1110020001195366
44149,روستای خان بی بی,0,,16,152,798,2057,1103010005193069
44150,روستای دوران خان,0,,16,437,815,2254,1116010003811234
44151,روستای ده رضا,0,,21,296,883,1718,812010003098093
44152,روستای دهدشت,0,,21,296,883,697,812010002384141
44153,روستای سفیدک,0,,16,225,803,745,1105010001415533
44154,روستای سلمانیه,1,3509,21,218,878,1243,815020001383091
44155,روستای سم(سام),0,,16,225,803,745,1105010001411735
44156,روستای سنچولی,0,,16,223,802,403,1104040001711761
44157,روستای سیاه خان پیری جوان,0,,16,231,165,963,1110010002411360
44158,روستای شهدا,0,,21,296,883,2306,812010004808720
44159,روستای شهنواز,0,,16,447,816,1116,1111010001411224
44160,روستای شهید بهشتی,0,,21,227,880,2541,805020009384612
44161,روستای شهید بهشتی,0,,21,296,883,697,812010002097758
44162,روستای شهید دهقان پور,0,,21,296,883,697,812010002381526
44163,روستای شهید سالاری,1,1725,21,296,883,697,812010002381508
44164,روستای شهید سعیدی,0,,21,138,158,2337,803020003808210
44165,روستای شهیدباهنر,0,,17,331,843,1540,710040003080816
44166,روستای شهیدبهشتی,0,,16,447,816,1116,1111010001411235
44167,روستای شهیددهمرده,0,,16,231,165,963,1110010002195197
44168,روستای شهیدکیوان میرشکاری,0,,21,356,888,2036,809040006808081
44169,روستای شیرمحمدچراغ,0,,16,231,165,963,1110010002411366
44170,روستای صاحب وزامل,0,,13,446,778,2613,623020002364699
44171,روستای طالقانی,1,6407,21,227,880,2541,805020009382159
44172,روستای عباس ابا,0,,21,214,488,1978,804030003381860
44173,روستای عبدالکریم جوزاک,0,,16,202,137,549,1108010001410126
44174,روستای عشایری گاوپران,0,,21,138,31,139,803060001808201
44175,روستای علی  اباد,1,1702,21,24,414,1659,823020001380070
44176,روستای علی پیری(کرم),0,,16,231,165,963,1110010002411191
44177,روستای عیسی زهی,0,,16,447,816,2277,1111010002811978
44178,روستای غلامعلی سرگزی مقدم,0,,16,231,165,963,1110010002195149
44179,روستای فرودگاه کرخه,0,,13,46,754,864,602020001364643
44180,روستای کرمت,0,,21,326,886,1410,816020002808542
44181,روستای گلستان,1,6640,15,270,87,932,2003010001820009
44182,روستای مبین,0,,16,447,450,176,1111020002711738
44183,روستای محمدامیرخمر,0,,16,447,816,1116,1111010001711727
44184,روستای محمدحسن,0,,16,434,814,102,1115010001194003
44185,روستای مستضعفان,0,,21,218,878,1243,815020001808086
44186,روستای ملاوی,0,,21,138,874,1125,803040006381282
44187,روستای ملک محمداشترک,0,,16,231,165,963,1110010002411375
44188,روستای مولوی خدا رحم رودینی,0,,16,231,804,1336,1110020002416903
44189,روستای میل نادر,0,,16,434,408,1813,1115020001413004
44190,روستای والی نسب,0,,6,196,258,1080,1603050001460289
44191,روستای وکیل اباد,0,,21,326,886,1410,816020002384572
44192,روستای هوروییه,0,,21,402,9,2517,813020003808180
44193,روسرشارگ,0,,16,325,145,1544,1118030002191463
44194,روسکین,0,,21,200,875,1539,818010002089935
44195,روسنگ,0,,11,64,716,644,931010002160406
44196,روسی,0,,11,117,75,321,905010001138320
44197,روشت,0,,28,269,339,2603,7020001004965
44198,روشت بزرگ,1,3154,1,80,639,397,312010002031305
44199,روشت کوچک,1,4769,1,80,639,397,312010002031306
44200,روشک,0,,10,318,713,1814,2904020002154533
44201,روشگان,0,,19,327,240,1810,2501020002005727
44202,روشن آباد,0,,16,120,1057,722,1121020002711629
44203,روشن آباد,0,,16,202,124,2387,1108050003414901
44204,روشن آباد,0,,16,225,506,2039,1105040001413461
44205,روشن آباد,0,,16,225,1064,2498,1105030002415958
44206,روشن آبسر بالا,0,,25,219,936,1229,107030003010686
44207,روشن آبسر پایین,0,,25,219,936,1229,107030003010687
44208,روشن اباد,0,,11,69,717,2064,923020002158586
44209,روشن اباد,0,,11,69,717,2064,923020002158587
44210,روشن اباد,0,,11,237,393,1206,908060003147830
44211,روشن اباد,0,,21,218,155,2077,815010002383073
44212,روشن اباد,0,,23,355,897,1144,1702050004229679
44213,روشن اباد,1,3063,27,55,956,2189,202020005017086
44214,روشن اباد,0,,31,119,1017,1722,2103020003245946
44215,روشن دره,0,,24,342,136,1286,2709030001325183
44216,روشنابدر,0,,5,289,621,491,3004010002261379
44217,روشناوند,0,,10,99,707,1779,2901040004132683
44218,روشناوند,0,,10,172,174,1876,2910020003129342
44219,روشناوند,1,5576,11,369,740,499,915020001161383
44220,روشنایی,0,,28,344,987,2552,11010004000536
44221,روشندان,1,1957,27,56,112,440,216030001015792
44222,روشنده,0,,25,213,128,2637,114010002011694
44223,روشنده,0,,25,213,934,2220,114020002310352
44224,روشنق,0,,3,20,584,314,2401010002024684
44225,روشنکوه,0,,27,233,210,2142,207010003019113
44226,روشنو,0,,21,227,880,635,805020002103369
44227,روشوک,0,,16,240,94,389,1106050001199630
44228,روض,0,,2,141,662,719,414020002043397
44229,روضه ارم,0,,21,402,890,2520,813010003117358
44230,روظریف,0,,11,69,717,2064,923020002158583
44231,روعان,1,4020,30,335,1008,1371,1305020003210204
44232,روغن کشی امین,0,,12,30,744,1268,2801020004828079
44233,روغن گران,0,,11,396,741,2430,916050004166152
44234,روغنو,0,,21,214,877,1408,804020009382019
44235,روغنوییه,0,,21,338,574,2291,808040002111874
44236,روغنی,0,,28,269,454,2072,7040002300974
44237,روغنی /گیسوان /,0,,10,429,398,1597,2905010001541262
44238,روفنان,0,,16,433,98,402,1107010001412225
44239,روفه,0,,13,85,761,634,605020001060047
44240,روکا سرام,0,,31,414,1020,1603,2106010002921527
44241,روکال,0,,11,396,16,551,916010002163170
44242,روکرد,0,,21,214,877,966,804020004100010
44243,روکش,0,,27,14,955,489,201020002015037
44244,روکوان,0,,22,176,552,2200,513010002046869
44245,روکی,0,,11,173,726,1463,938010001148584
44246,روکی,0,,13,374,214,623,617020001066682
44247,روکی محله,0,,25,291,485,957,104040003801040
44248,روگ(راوک),0,,16,433,813,2314,1107050002416806
44249,روگوشوییه سفلی,0,,21,279,267,685,807020001108894
44250,روگوشوییه علیا,0,,21,279,267,685,807020001108895
44251,روگیرتاج امیری,0,,17,375,428,993,715040001081983
44252,روگیرحاجی محمدتقی,0,,17,375,428,993,715040001081984
44253,روگیرحسنی,0,,17,375,428,993,715040001081985
44254,روگیرقلعه حاجی,0,,17,375,428,993,715040001081986
44255,روم,0,,10,318,334,1383,2904050003154528
44256,روم دشت,0,,25,219,282,1601,107020004010318
44257,روم قویوسی,0,,1,391,1096,1175,307030001032101
44258,روماهن,0,,21,200,1093,2606,818020001091104
44259,رومرزسفلی,0,,21,138,874,144,803040002098095
44260,رومرزعلیا,0,,21,138,874,144,803040002098096
